Id,SalePrice
1461,119965.17327465567
1462,156763.35714740094
1463,186939.4152929345
1464,190175.59778179388
1465,191837.02845824018
1466,176702.81721033217
1467,175931.07103270668
1468,169615.66793454243
1469,191090.15839815987
1470,122262.68817762523
1471,185668.80106936453
1472,94926.81814025067
1473,95130.9908803205
1474,151710.23353823146
1475,131602.6503813327
1476,367446.6567861879
1477,251747.7439389478
1478,290955.36832915235
1479,279273.25476963463
1480,459223.4373591839
1481,325713.1463363069
1482,210490.50583862243
1483,182089.9403859062
1484,172917.75839977004
1485,181189.42218224896
1486,196069.87704900658
1487,330188.30603322474
1488,229271.6374796186
1489,201994.8542137542
1490,219473.37848073378
1491,189850.80688017517
1492,99939.81156595853
1493,176922.5569648445
1494,286032.970924351
1495,289777.3966164924
1496,229351.74472730054
1497,185809.7493133284
1498,159281.7932400139
1499,158067.04154924653
1500,157871.80467149912
1501,175157.1801448064
1502,158390.77812283472
1503,307144.4734125475
1504,231438.4177265573
1505,224581.08373748828
1506,194469.17724717723
1507,240099.4078038541
1508,206159.2649828572
1509,167907.0476331485
1510,147729.78620947842
1511,149106.20381067193
1512,169529.25525227573
1513,141522.35564188389
1514,147996.56507140334
1515,182509.99623225845
1516,147835.4062520591
1517,160459.25923779793
1518,129897.29538741268
1519,205383.75031849966
1520,132803.94281473692
1521,137386.227562652
1522,166681.48746547388
1523,119418.28361836198
1524,125130.57849127128
1525,124570.90365830062
1526,123504.93369674051
1527,104270.720442578
1528,136492.6855044964
1529,143548.99056436736
1530,172233.9815303883
1531,117082.55178835243
1532,101284.8114511885
1533,144499.16306340098
1534,120079.72244148173
1535,159655.2395689727
1536,117301.34756355957
1537,66806.78224548929
1538,157849.24419791333
1539,182992.98133421992
1540,100422.65984287031
1541,138619.4702126949
1542,138135.97158235995
1543,206421.72787731004
1544,79925.66190609986
1545,103444.24786786817
1546,118549.23735040845
1547,129800.67159451853
1548,130727.58552041867
1549,108135.82084158211
1550,130907.41178471115
1551,117210.90329423822
1552,133036.67184040262
1553,144727.39306634048
1554,116361.8360832532
1555,185264.7413095448
1556,99234.88706297813
1557,118798.89846710893
1558,93487.1702988935
1559,93033.72350806915
1560,138803.88343325493
1561,130337.78593507869
1562,126748.51816728243
1563,122043.57343383091
1564,161861.92244628526
1565,145723.5912248959
1566,225738.60669361614
1567,77955.00619667362
1568,233043.6130558164
1569,139300.25637765313
1570,128645.31119527663
1571,118046.61329572432
1572,146197.42560721314
1573,248673.62496307952
1574,119614.29892862479
1575,219824.4868173488
1576,225845.79211570526
1577,199101.93930620537
1578,152740.63288336695
1579,146275.24864458205
1580,190630.22908078798
1581,151225.260939549
1582,128015.36599661256
1583,305925.0165275177
1584,222920.91149771595
1585,140154.99482486534
1586,70756.0516615882
1587,99780.39144405471
1588,151344.11604483187
1589,100730.86409016146
1590,133802.17664082142
1591,98588.3500173631
1592,126561.61458427033
1593,121773.89430651705
1594,135013.24938490978
1595,115093.60440434683
1596,235066.6892775581
1597,184713.72965795203
1598,193973.48148065907
1599,160893.26639928177
1600,158302.70452772288
1601,67915.74153310493
1602,107184.93713646344
1603,85414.58423893707
1604,267197.87712956755
1605,231720.71431517974
1606,167346.84953712442
1607,163394.37148148764
1608,216810.26152138822
1609,198248.78333982863
1610,151532.41663669172
1611,146166.29898914302
1612,164049.7837233335
1613,157703.4948701337
1614,123850.7333012263
1615,90741.57987835197
1616,78367.74726297821
1617,92079.41382422081
1618,125345.45795065237
1619,133286.92698438998
1620,148695.1990213642
1621,136814.9334687578
1622,146557.70422818116
1623,269818.32214411907
1624,200777.3761275715
1625,119824.62413814267
1626,163336.44833990894
1627,189754.75355794668
1628,269772.07498376275
1629,175731.28507025173
1630,365657.89799867757
1631,209857.09642940454
1632,244180.2165685196
1633,170488.96880604755
1634,184526.80830064142
1635,179524.6329981081
1636,159511.70004407718
1637,203787.97982541934
1638,198953.266466166
1639,191751.14785027405
1640,265014.17222550587
1641,187166.79568419332
1642,228303.87599200878
1643,223497.57857295504
1644,225970.72686452893
1645,203115.76384415064
1646,164554.1185884375
1647,162584.51323831224
1648,136147.58501784553
1649,139899.61761442185
1650,118438.6336313468
1651,121413.73416740465
1652,95877.05258083266
1653,97778.76765415633
1654,149899.71690473205
1655,149839.15097074275
1656,146512.49057456353
1657,149157.65797812704
1658,149500.52790607908
1659,135132.8975742834
1660,144242.83631968248
1661,456479.167035643
1662,403861.8429374598
1663,380986.0319594927
1664,515087.2769938025
1665,302861.56301350234
1666,329450.10026640154
1667,370856.39719339565
1668,326241.3639528874
1669,291405.0456093734
1670,331759.8715321927
1671,273058.31548573304
1672,430224.89261470275
1673,286629.1660651073
1674,241578.66598444755
1675,194618.78396468074
1676,195934.39601072023
1677,223523.82799866484
1678,485141.17276106525
1679,390261.73359313025
1680,337829.8137408921
1681,234257.77812868234
1682,307691.86347336357
1683,190458.18235093087
1684,178033.93272563192
1685,176336.17251268734
1686,176600.68336998404
1687,169568.1174950323
1688,187489.9283749622
1689,188741.93746965835
1690,190116.15554706307
1691,182124.2916215571
1692,241608.05343251763
1693,171873.8676226913
1694,184634.45890879672
1695,166089.68192746883
1696,268223.7588963838
1697,168789.5489612431
1698,341074.43342554296
1699,310260.50757957855
1700,250560.05147522676
1701,271299.5936161465
1702,250369.37759891615
1703,252827.06837445585
1704,281148.49004642136
1705,224894.35586325123
1706,442275.63872903323
1707,214368.5164060803
1708,207320.19605640785
1709,257123.97084399208
1710,214131.66428974643
1711,244915.50816682167
1712,264781.5699750216
1713,270474.0733743979
1714,222856.7708571427
1715,199785.6520835743
1716,177974.46782254855
1717,170120.21973167846
1718,145070.65926689943
1719,204001.35433741045
1720,231595.64461081184
1721,161874.2919717052
1722,137884.7504611266
